Wavelength microns	Wavelength bin size microns	Transit Depth	Transit Depth Error	Rp/R*	Rp/R* error
0.3072	0.0088	0.0149255089	0.0001392738	0.12217	0.00057
0.3247	0.0088	0.01498176	9.792e-05	0.1224	0.0004
0.3379	0.0044	0.0150038001	0.00012249	0.12249	0.0005
0.3467	0.0044	0.0150258564	0.0001201284	0.12258	0.00049
0.3555	0.0044	0.0150700176	0.000110484	0.12276	0.00045
0.3643	0.0044	0.0150822961	9.57918e-05	0.12281	0.00039
0.3731	0.0044	0.0150405696	0.0001422624	0.12264	0.00058
0.3797	0.0022	0.0148060224	9.97776e-05	0.12168	0.00041
0.3841	0.0022	0.0149230656	0.0001197168	0.12216	0.00049
0.3885	0.0022	0.0149891049	8.32524e-05	0.12243	0.00034
0.3929	0.0022	0.0150479289	0.0001177632	0.12267	0.00048
0.3973	0.0022	0.0147646801	0.0001288006	0.12151	0.00053
0.4017	0.0022	0.0148693636	7.3164e-05	0.12194	0.0003
0.4061	0.0022	0.0149059681	0.0001147646	0.12209	0.00047
0.4105	0.0022	0.0148791204	0.0001146612	0.12198	0.00047
0.4149	0.0022	0.0148279329	7.79328e-05	0.12177	0.00032
0.4193	0.0022	0.01493284	8.3096e-05	0.1222	0.00034
0.4237	0.0022	0.0147938569	7.2978e-05	0.12163	0.0003
0.4281	0.0022	0.0149475076	8.80272e-05	0.12226	0.00036
0.4325	0.0022	0.0147792649	0.0001167072	0.12157	0.00048
0.4369	0.0022	0.01476225	8.019e-05	0.1215	0.00033
0.4413	0.0022	0.0146991376	0.0001260896	0.12124	0.00052
0.4457	0.0022	0.0147816964	0.0001361696	0.12158	0.00056
0.4501	0.0022	0.0148888804	7.80928e-05	0.12202	0.00032
0.4545	0.0022	0.0148230625	6.5745e-05	0.12175	0.00027
0.4589	0.0022	0.0147573904	6.31696e-05	0.12148	0.00026
0.4633	0.0022	0.0146942884	5.81856e-05	0.12122	0.00024
0.4677	0.0022	0.0148328041	9.01246e-05	0.12179	0.00037
0.4721	0.0022	0.0148206276	7.54788e-05	0.12174	0.00031
0.4765	0.0022	0.0147573904	0.0001020432	0.12148	0.00042
0.4809	0.0022	0.0145853929	0.0001714934	0.12077	0.00071
0.4853	0.0022	0.0147962896	8.5148e-05	0.12164	0.00035
0.4897	0.0022	0.0147525316	9.47388e-05	0.12146	0.00039
0.4941	0.0022	0.0146192281	5.56186e-05	0.12091	0.00023
0.4985	0.0022	0.0148376761	6.0905e-05	0.12181	0.00025
0.5029	0.0022	0.0148157584	7.05976e-05	0.12172	0.00029
0.5072	0.0022	0.0147671104	8.74944e-05	0.12152	0.00036
0.5116	0.0022	0.0146676321	0.0001259544	0.12111	0.00052
0.516	0.0022	0.0147185424	0.0001140408	0.12132	0.00047
0.5204	0.0022	0.0146458404	8.95548e-05	0.12102	0.00037
0.5248	0.0022	0.0148986436	9.27656e-05	0.12206	0.00038
0.5292	0.0022	0.0146385801	7.98534e-05	0.12099	0.00033
0.5336	0.0022	0.0148522969	7.79968e-05	0.12187	0.00032
0.538	0.0022	0.01473796	6.3128e-05	0.1214	0.00026
0.5424	0.0022	0.0147015625	7.0325e-05	0.12125	0.00029
0.5453	0.0039	0.0150724729	0.0002504508	0.12277	0.00102
0.5467	0.0022	0.0147962896	9.24464e-05	0.12164	0.00038
0.5511	0.0022	0.01483524	6.3336e-05	0.1218	0.00026
0.5531	0.0039	0.0150577441	0.0001914276	0.12271	0.00078
0.5555	0.0022	0.0146845924	7.75552e-05	0.12118	0.00032
0.5599	0.0022	0.0147598201	9.47622e-05	0.12149	0.00039
0.5609	0.0039	0.0149352841	0.0001979802	0.12221	0.00081
0.5643	0.0022	0.0147355321	7.04062e-05	0.12139	0.00029
0.5685	0.0022	0.0146991376	9.94168e-05	0.12124	0.00041
0.5687	0.0039	0.0150136009	6.86168e-05	0.12253	0.00028
0.5765	0.0039	0.0146748996	8.72208e-05	0.12114	0.00036
0.5843	0.0039	0.0149940025	7.1021e-05	0.12245	0.00029
0.5921	0.0039	0.0149303961	7.3314e-05	0.12219	0.0003
0.5999	0.0039	0.0150577441	9.08054e-05	0.12271	0.00037
0.6077	0.0039	0.0148522969	6.33724e-05	0.12187	0.00026
0.6155	0.0039	0.0149059681	6.59286e-05	0.12209	0.00027
0.6233	0.0039	0.0149499529	6.1135e-05	0.12227	0.00025
0.6311	0.0039	0.01490841	6.105e-05	0.1221	0.00025
0.6389	0.0039	0.0148620481	6.58314e-05	0.12191	0.00027
0.6467	0.0039	0.0147039876	4.60788e-05	0.12126	0.00019
0.6545	0.0039	0.0145974724	5.79936e-05	0.12082	0.00024
0.6623	0.0039	0.0148913209	6.34556e-05	0.12203	0.00026
0.6702	0.0039	0.0145709041	0.0001182958	0.12071	0.00049
0.678	0.0039	0.0147209689	5.09586e-05	0.12133	0.00021
0.6858	0.0039	0.0147841281	0.0002261574	0.12159	0.00093
0.6936	0.0039	0.0146482609	5.80944e-05	0.12103	0.00024
0.7014	0.0039	0.0147646801	6.31852e-05	0.12151	0.00026
0.7092	0.0039	0.0147258225	6.7956e-05	0.12135	0.00028
0.717	0.0039	0.0146216464	8.70624e-05	0.12092	0.00036
0.7248	0.0039	0.01468944	0.000203616	0.1212	0.00084
0.7327	0.0039	0.0147161161	6.30812e-05	0.12131	0.00026
0.7405	0.0039	0.01466521	8.7192e-05	0.1211	0.00036
0.7483	0.0039	0.0145878084	0.0001352736	0.12078	0.00056
0.7561	0.0039	0.0149132944	7.81568e-05	0.12212	0.00032
0.7639	0.0039	0.0147841281	0.0001069992	0.12159	0.00044
0.7717	0.0039	0.0149108521	6.34972e-05	0.12211	0.00026
0.7796	0.0039	0.0146942884	0.0001018248	0.12122	0.00042
0.7874	0.0039	0.0147816964	6.56532e-05	0.12158	0.00027
0.7952	0.0039	0.0148133241	0.0001022364	0.12171	0.00042
0.803	0.0039	0.0146991376	9.94168e-05	0.12124	0.00041
0.8108	0.0039	0.0146821689	0.0001066296	0.12117	0.00044
0.8186	0.0039	0.01452025	0.00012773	0.1205	0.00053
0.8264	0.0039	0.01483524	8.7696e-05	0.1218	0.00036
0.8343	0.0039	0.0145395364	0.000204986	0.12058	0.00085
0.8538	0.0156	0.0147841281	0.0001045674	0.12159	0.00043
0.8851	0.0156	0.0147355321	6.31228e-05	0.12139	0.00026
0.9163	0.0156	0.0143712144	0.0001150848	0.11988	0.00048
0.9475	0.0156	0.0148084561	0.0001508956	0.12169	0.00062
1.1217	0.0093	0.0146240649	3.38604e-05	0.12093	0.00014
1.1402	0.0093	0.0146845924	3.15068e-05	0.12118	0.00013
1.1588	0.0093	0.0146458404	2.90448e-05	0.12102	0.00012
1.1774	0.0093	0.0146385801	2.66178e-05	0.12099	0.00011
1.1959	0.0093	0.0146313216	2.66112e-05	0.12096	0.00011
1.2145	0.0093	0.0146337409	2.66134e-05	0.12097	0.00011
1.233	0.0093	0.0146023056	2.65848e-05	0.12084	0.00011
1.2516	0.0093	0.0145805625	2.6565e-05	0.12075	0.00011
1.2702	0.0093	0.0145950561	3.38268e-05	0.12081	0.00014
1.2887	0.0093	0.0146047225	3.6255e-05	0.12085	0.00015
1.3073	0.0093	0.0145733184	3.38016e-05	0.12072	0.00014
1.3259	0.0093	0.0147331044	3.15588e-05	0.12138	0.00013
1.3444	0.0093	0.01483524	3.654e-05	0.1218	0.00015
1.363	0.0093	0.0148254976	3.89632e-05	0.12176	0.00016
1.3815	0.0093	0.0148011556	3.16316e-05	0.12166	0.00013
1.4001	0.0093	0.0147938569	3.40564e-05	0.12163	0.00014
1.4187	0.0093	0.0147233956	3.15484e-05	0.12134	0.00013
1.4372	0.0093	0.0147015625	3.1525e-05	0.12125	0.00013
1.4558	0.0093	0.0147428164	4.37112e-05	0.12142	0.00018
1.4744	0.0093	0.0147671104	3.88864e-05	0.12152	0.00016
